CustomerID,LookalikeID,SimilarityScore
C0001,C0137,0.9999196325580776
C0001,C0152,0.9998359448012852
C0001,C0107,0.987917248737169
C0002,C0043,0.9786725653757627
C0002,C0142,0.9760628543560197
C0002,C0088,0.9553178852127235
C0003,C0133,0.9947419467117955
C0003,C0052,0.9890316941125552
C0003,C0112,0.9604764821018007
C0004,C0113,0.9857559960474616
C0004,C0108,0.9823338545444562
C0004,C0102,0.9771232561362238
C0005,C0159,0.9993631754886113
C0005,C0123,0.9823107689479875
C0005,C0186,0.9722677097581334
C0006,C0158,0.974974572105373
C0006,C0168,0.9715652783964124
C0006,C0171,0.9596939181304708
C0007,C0140,0.9794097431956339
C0007,C0080,0.9449294455860665
C0007,C0078,0.9445327647825293
C0008,C0109,0.9754452109593548
C0008,C0139,0.9686420952309618
C0008,C0098,0.9469942464149693
C0009,C0121,0.9857372789884333
C0009,C0010,0.9749312786300519
C0009,C0060,0.9728801970632498
C0010,C0199,0.9938018729731501
C0010,C0111,0.9791577216911711
C0010,C0009,0.9749312786300519
C0011,C0107,0.998179909895423
C0011,C0048,0.9977330812749463
C0011,C0152,0.9804937078255951
C0012,C0155,0.9987907997718202
C0012,C0108,0.9905212876760394
C0012,C0102,0.9795571325561576
C0013,C0087,0.9899352834928301
C0013,C0099,0.985806604866011
C0013,C0104,0.9849522176272322
C0014,C0198,0.9849545639546131
C0014,C0060,0.9775048430793575
C0014,C0009,0.967546516716533
C0015,C0144,0.993566320641661
C0015,C0036,0.9813835016493351
C0015,C0131,0.9768433599355508
C0016,C0183,0.9999334305423108
C0016,C0067,0.956742911386251
C0016,C0026,0.9530775371887198
C0017,C0124,0.981979498284466
C0017,C0075,0.9722505395276931
C0017,C0179,0.9033313321330146
C0018,C0117,0.9653195437141449
C0018,C0079,0.9652030417561005
C0018,C0026,0.9343775401127166
C0019,C0172,0.9999897383701694
C0019,C0111,0.9808242936995855
C0019,C0119,0.962194374408463
C0020,C0042,0.9347794454767568
C0020,C0176,0.9321308312028254
C0020,C0144,0.925945056164395
